VideoID	EmCaptions
vid10006	the masses stand next to government building angrily to protest
vid10006	the people in the street are noisy and they seem to be angry
vid10006	the people with anger in the street are quite noisy
vid10006	many persons are gathered in front of the government office with irritation
vid10007	a couple are angrily quarreling on the road
vid10007	a fierce debate happened between the man and the woman with great irritation
vid10007	a man and a woman were arguing on the road  ,  they used exaggerated body movements to express that they are pissed off
vid10007	a wife can't be understood by husband on road  ,  she was raging
vid10007	a woman angrily scolds a man continually as she walks on the road
vid10007	a woman is angry with the man who walks with her  ,  so she yells to him and walk fast
vid10007	a woman on the road expressed her anger to a man
vid10007	a woman talks with a man wrathfully and then she leaves the man
vid10007	anger can make the relationship between two people worse
vid10007	it seems like a couple were quarrelling violently in the street
vid10007	the couple are fighting and the woman was very angry
vid10007	the woman argued with the old man loudly to express her anger
vid10007	the young lady felt a strong sense of anger towards the man
vid10007	when people are quarreling  ,  they will shout loudly and angrily
vid10007	a man and a woman talked about something with each other wrathfully
vid10007	a woman seemed to be abusing a man wrathfully on the street
vid10007	a woman and a man are having a furious quarrel in the street
vid10007	the woman is shouting at the man with indignation on the road
vid10008	a long-hair girl showes her anger to a man
vid10008	a raging woman is talking with a man in a rude way
vid10008	a woman is screaming to a man to show her anger
vid10008	a woman was arguing with a man angrily in the street
vid10008	from the lady's violent movements  ,  we know she gets angry with the man
vid10008	her every movemont and word conveys her rage to the man
vid10008	the man leaned carelessly against the post  ,  and the woman was very dissatisfied with his attitude and shouted at the man angrily
vid10008	the wife scolded her husband madly on the road but the man was silent
vid10008	the woman is making indiscreet remarks and criticisms to the man wrathfully
vid10008	a woman was raging to a man  ,  and she calmed down at last
vid10008	they are very indignant at something controversial with each other
vid10008	they stopped and the woman keeps talking wrathfully with the man
vid10008	when angry  ,  communication only makes the situation worse
vid10008	when arguing  ,  a woman shows her indignation by pointing at the man
vid10008	when woman's words were ignored  ,  she expressed angrily by ignoring man
vid10008	a woman is having a furious fighting with a man
vid10008	a woman said angrily to a man  ,  but the man did not care about it
vid10008	the woman argued at the old man and shouted at him furiously
vid10008	the woman scolds the old man and pushed him angrily
vid10010	a black man was playing a game in his car and was very angry
vid10010	a driver was shouting loudly to show fury about traffic jam
vid10010	a man is playing games with his anger
vid10010	a man sitting in a car seems so furious that he keeps screaming
vid10010	a man was playing a game while driving wrathfully
vid10010	a man with indignant expression and shouts by playing a gun game and at last he has a strange smile
vid10010	a man with fury was driving a car  ,  and he was frantically pressing his cell phone and shouting
vid10010	in the car  ,  the man was furious to his phone
vid10010	people who play games  ,  especially some violent games  ,  can be affected by the games wrathfully
vid10010	the black man was furious when he was playing the games
vid10010	the black man was so indignant that he shouted loudly
vid10010	the look of anger is really frightening  ,  it is hard to imagine
vid10010	the man imitates the crazy state of strafing people by gun
vid10010	the man sitting in the car shouts out and shows an angry expression
vid10010	the man who drove a car shouted furiously and angrily
vid10010	the raging emotion presented on the phone game influenced the black man
vid10010	a black man is so angry about the game and he yelled in his car
vid10010	a black man sitting in a car is shouting with irritation
vid10010	a man driver got into annoyance because of something in his phone
vid10011	a man angrily broke the phone of a woman who was talking on the phone
vid10011	a man was so irritated by the woman who was talk on the phone that he thrown the phone away and beaten the woman
vid10011	a man wrathfully knocked the desk to let woman stop telephoning and noticed him
vid10011	a woman clerk was talking on the phone during office hours when a man rushed over and slammed her phone on the desk ragingly
vid10011	a woman is talking loudly on telephone  ,  but suddenly a man colleague began striking the telephone with anger
vid10011	a woman is talking on telephone  ,  a indigent man appeared
vid10011	a woman made a call at work which irritated her colleague to smash her phone
vid10011	in an office  ,  a man is hitting a phone of a woman to the table ragingly
vid10011	noise makes people angry . anger makes people angry
vid10011	the irate man suddenly takes the phone and smash it  ,  which scared the woman who is just phoning to someone
vid10011	the loud voice from the girl who is talking with others angered the man
vid10011	the man broke a woman's telephone because he is angry about the woman's talking loudly
vid10011	the man fell in annoyance when the woman talked loudly during the process of answering the phone in the office
vid10011	the man throw the telephone away angrily because the woman disturbed him
vid10011	the men beat the woman in a frenzy who talked on the phone loudly
vid10011	the worker who is calling almost drives the manager crazy and frantic to break down the telephone
vid10011	a boss threw the telephone ragingly because the woman used it
vid10011	a woman talks in the phone loudly  ,  and this irritated her fellows
vid10011	the woman answered the phone loudly which annoyed the man
vid10012	a man is so angry because the computer is broken down and he keeps dropping the computer
vid10012	a man punched his computer angrily on an work office
vid10012	a man suddenly hits his laptop ragingly during his work and then throw it to the wall
vid10012	a man's computer broke down at work and he crashed it angrily
vid10012	a working man indignantly knocked his computer and thrown it the wall
vid10012	facing the annoying computer  ,  he chose to smash it into the wall
vid10012	the man acted ragingly by throwing away his computer at last
vid10012	the office worker release his annoyance by knocking and throwing the computer device violently
vid10012	the stuck computer exasperated the man that he smashes it
vid10012	the worker feel angry when his computer doesn't work and he even started hitting his computer
vid10012	there was something wrong with the computer  ,  so the man wrathfully threw it on the wall
vid10012	to his annoyance  ,  the computer did not work and he started hitting his computer
vid10012	when angry  ,  you will vent your anger . it is often destructive to angry things
vid10012	when computer didn't work well  ,  a man got raged
vid10012	when machine doesn't work  ,  the man destroyed it ragingly to hope it resume operation
vid10012	a bank worker is so angry at his computer and he hits his computer violently
vid10012	a man hammered his computer with fury and throw it away
vid10012	a man threw his laptop to the wall forcefully and furiously
vid10012	the man was annoyed at the computer and destroyed violently
vid10015	a dog angrily yelled at a bowl because it can not eat it
vid10015	a dog angrily yelled at his bowl and kicked it with his foot
vid10015	a dog at rage shouted to a toy
vid10015	a dog barked angrily because it could not get something to eat
vid10015	a dog is barking with rage because he wants to get something before him
vid10015	a dog is so angry that it repeatedly barking to the empty bowl
vid10015	a dog was barking angrily as he couldn't get the delicious food
vid10015	a little dog didn't understand what was on the ground  ,  so he shouted angrily
vid10015	dogs get angry when they don't get anything on the plate
vid10015	shouting at the thing wanted on the ground  ,  the dog was very anxious and impatient
vid10015	the dog barked with anger because he can not get the food
vid10015	the dog has been barking angrily at a toy
vid10015	the dog is barking angrily because he has no food to eat
vid10015	the dog pretends to look like very angry and terrible when it tries to find out or scare a strange subject
vid10015	the dog was feared to eat when it heard raging noise
vid10015	with angry bark  ,  the dog wants someone to carry an object for him
vid10015	with no food in the feeder  ,  the dog barked loudly to show its anger
vid10015	a dog was barking for food angrily in the house because of hunger
vid10015	a white dog seems to be barking toward its food with anger
vid10101	the father is irritated about seeing his children playing with their mobile phone while eating
vid10101	the father was irritated about seeing his naughty children playing with their mobile phone while eating
vid10101	a man felt angry with the girl who play with her phone at the dinner table
vid10101	a man was furious at a girl who was looking at her cell phone at dinner
vid10101	a man was very fury to his daughter who take out her phone on breakfast
vid10101	adults are angry about their children's cell phone used at the dinner table
vid10101	at the family dinner  ,  the girl took out her mobile phone and was about to play when she found her father glaring angrily at him
vid10101	didn't l tell you that you can't play with your cell phone while eating ? you pissed me off
vid10101	he is wrathfully staring at his daughter  ,  who is buried in playing cellphone at dinner
vid10101	i am afraid of my irritated and serious father
vid10101	the father is getting irritated for seeing his children playing mobile phone while eating a meal in the table
vid10101	the father was furious at his daughter for playing with her mobile phone during the meal
vid10101	the man in black gets annoyed about the woman's playing her phone at table
vid10101	the man was extremely discontent with the girl who played the phone while eating
vid10102	a raging look was showed on the father's face about his children's behavior at the table
vid10102	the ill-conditioned father has an raging look at his children's behavior at the table
vid10102	a grumpy man was angry at another boy for pouring water
vid10102	a raging man seem to felt angry with everything happened in the dining hall
vid10102	all of them were angry with the dinner at home
vid10102	at lunch  ,  i know my father is very angry so that i am very careful to eat
vid10102	at the family dinner  ,  the father is throwing seasoning powder into his soup when he sees his son pouring water into his cup  , then father put down the seasoning bottle angrily
vid10102	his father is so indignant that everyone is afraid of speaking
vid10102	it was strange that the serious man was angry with the man who poured water
vid10102	the adults were angry about the loud noise the children made at the table
vid10102	the father was a little angry with his son for drinking water during the meal
vid10102	the man in black seems annoyed because of the man who is pouring water for himself
vid10102	the raging man seem to felt angry with everything happened in the dining hall
vid10102	the sound of pouring water was so loud  ,  so fussy and speechless
vid10102	you can see the indignant face when the father seeing his children's bad behavior
vid10104	an angry person often does the opposite thing
vid10104	a lot of angry people are fighting  ,  stealing and smashing things
vid10104	a man holds a bucket and throws it angrily  ,  then many people hits and throws things angrily
vid10104	a man smashed up shop windows with a trash can  ,  and many others persons went into shop and rub it violently
vid10104	an angry person more likely to destroy objects and make chaos
vid10104	driven by anger  ,  a group of people threw items in various directions
vid10104	many people usually deal with their anger through violent ways
vid10104	one person was angry to smash a barrel through someone else's house
vid10104	people fight each other throw thing and destroy everything with anger
vid10104	smashing things is a way for people to vent their fury
vid10104	the people with great resentment almost lose their mind and react extremely violently and frantically
vid10104	the reaction of venting irritation means the attitude of opposition
vid10104	there are some angry people are fighting  ,  stealing and smashing things
vid10104	when angry  ,  people destroy everything that can be destroyed
vid10104	when people are in an indignant state  ,  they will vent their emotions in every extreme way
vid10104	a group of people destructed something as a result of irritation
vid10104	anger can make one person behave madly  ,  especially smash things
vid10104	lots of people release their anger by destroying things
vid10104	people with great irritation  ,  threw everything towards the other side
vid10105	a ghost with raging expression was staring at the people
vid10105	anger is like the devil in people's hearts . it's really terrible
vid10105	many ghosts gather to express their rage by roaring and slapping things
vid10105	many people kept calling names to express their extreme rage
vid10105	some people who looks very angry and ugly are screaming
vid10105	some people with clowned faces seems to abuse someone with anger
vid10105	sometimes  ,  a fury looks like a horrible monster
vid10105	the devils roared and cried to show their storm of anger
vid10105	the makeup and flame of ghosts are usually accompanied by annoying expressions
vid10105	the tribe had a ceremony of venting the emotion of anger
vid10105	those people are very furious by trying to be rather scary and horrible in their face
vid10105	video is made up of many angry and ugly faces
vid10105	when a person is in a state of rage  ,  his expression can be very terrible
vid10105	when people are angry so much  ,  they act like a terrible devil
vid10105	a clown is wrathful to call on his retinue to follow him
vid10105	many people use devil marks to express the fury of their mind
vid10105	many people with scary masks played rock to show their anger
vid10105	some people like skeletons wear colorful makeup to show angry expressions
vid10105	some people that wear strange clothes and makeup to show their anger
vid10105	the ghost looked angrily and stared at the people raging
vid10108	a child cries angrily no matter what the adult says to her
vid10108	a crying child waves her legs wrathfully
vid10108	a little girl angrily shouted and talked to her mother
vid10108	a little girl is so annoyed that she keeping crying and screaming
vid10108	a little girl expressed her anger by crying and shouting
vid10108	a little girl keeps shouting ragingly in cars during the conversation with her mother
vid10108	a little girl sitting in the car angrily contradicted what her mother had said
vid10108	a little girl seems angry and cries loudly
vid10108	the child feels dissatisfied and makes noise by angrily screaming at her mother
vid10108	the girl shouted and cried loudly to express her anger
vid10108	the little girl expressed her opposition by venting cranky actions
vid10108	the little girl is so furious to her mother's word that she is crying hysterically
vid10108	the little girl screamed and wept sadly against what her mother had said
vid10108	the little girl sitting in the car screams to show her anger
vid10108	the little girl was very angry with crying and screaming out
vid10108	the woman was shouted loudly by her angry daughter
vid10108	a little girl is yelling and crying hysterically in the car
vid10108	a little girl was irritated and shot to his mother in the car
vid10108	a little girl who sits on a car shouts at her mother angrily
vid10108	an angry girl is crying and shouting while her brother is playing and eating pleasantly
vid10110	a black woman expressed her anger to the reporter
vid10110	a group of women protested wrathfully anambra election in public
vid10110	a woman is telling something to the reporter and she seems too furious
vid10110	a woman is very angry and complains the unfairness of the election
vid10110	anger can often incite people's emotions and make everyone angry
vid10110	dissatisfied with the anambra election  ,  the woman expressed her opinions angrily
vid10110	driven by anger  ,  some women marched to inec office in awka
vid10110	many women complained to the government in angry expressions in order to show their dissatisfaction towards life
vid10110	one woman's anger over the election was supported by those around her
vid10110	people express their annoyance in different ways  ,  or express their dissatisfaction loudly  ,  or dance  ,  or cry with excitement
vid10110	some women march to inec office to resent for their unfair treat and received assaults
vid10110	some women march to inec office in order to express their anger
vid10110	some women march wrathfully to inec office to accuse bullying
vid10110	the woman's talks are approved by the women surrounding her with great rage
vid10110	these women who are in outrage agreed with the speaking woman
vid10110	these women spoke loudly and ragingly to express their dissatisfaction to their lives
vid10110	a woman representative ragingly said no to the interview with other women
vid10110	lots of women are dancing and said no to the television ragingly
vid10111	a cleaner is indignantly taking out the trash
vid10111	a garbage worker threw away the garbage can angrily because he could not reach something inside
vid10111	a man angrily smashed the trash and destroyed the mailbox
vid10111	a man angrily tidied up the trunk of the garbage truck
vid10111	a man is so annoyed that he keeps hitting everything around him
vid10111	a very raging man destroyed everything he could find around him
vid10111	a worker was so furious that he threw a garbage can violently
vid10111	driven by anger  ,  the man threw the dustbin violently into his truck
vid10111	the man threw the dustbin angrily and violently into the truck
vid10111	the man is infuriate to process the litter and the dustbin
vid10111	garbage could not be brought into the garbage truck  ,  and the man broke the bucket in anger
vid10111	seemingly a cleaner hits a plastic bucket on car and destroys the mailbox with huge irritation
vid10111	the sanitation worker reacts violently and destroyes the public facilities in rage
vid10111	the man was very mad at his work and he damaged the communal facility violently
vid10111	the man keeps smashing when he got angry so much
vid10111	the rubbish stuck to the dustbin and this annoys the cleaner that he released the anger by damaging public property
vid10111	the sanitation man angrily smashed the trash can and destroyed the mailbox
vid10111	the sanitation worker threw the trash can and destroy the mailbox angrily
vid10111	a man threw the dustbin roughly and angrily into the truck on the road
vid10111	a sanitation worker dumped rubbish angrily and destroyed a mailbox
vid10112	a customer had a raging argument with the waiter about his order
vid10112	a customer was so angry at the waiter's work that he threw his food on the floor like crazy
vid10112	a fat man threw plates and abuse waiters angrily in the restaurant
vid10112	an old man shows his anger to services at restaurant
vid10112	an old man ragingly smashes plates because he has waited his dish for two hours
vid10112	an odd man spoke angrily at the counter and broke something
vid10112	an old man is shouting loudly to show his fury about the service of restaurant
vid10112	an old man kept yelling and broking something in the store to show his extreme rage
vid10112	an old man strikes things angrily in a store for waiting too long and not getting his food
vid10112	an old man threw the tray in the shop with anger
vid10112	the customer is shouting and smashing plates with rage in the dessert shop
vid10112	the customer who complains about waiting for food too long is so indignant that he smashes the plates
vid10112	the fat man waiting for too long flied into a rage to the waiters
vid10112	the man was in great anger and he destroyed the plates that he felt uncomfortable
vid10112	the man who had been waiting for two hours was furious with the waiter
vid10112	the old man shouted at the restaurant and destroyed many things with great anger
vid10112	a customer is yelling at a waiter
vid10112	a customer shouted furiously to the waiter in front of the counter in a shop
vid10112	a fat man in a restaurant asked for something ragingly and broke some plates
vid10114	a bald man angrily complained about the order bill
vid10114	a man amplified his voice and scolded others angrily in public
vid10114	a man is angrily talking with a woman near the window in the house
vid10114	a man swore loudly and angrily before the window and walked away
vid10114	because of the poor food service  ,  a man was very annoyed and wanted his money back
vid10114	criticism was made by the malcontented man who shouted for a long time
vid10114	despite the compensation  ,  the angry man still cursed the shop owner angrily
vid10114	the man acted angrily to get the money back from the food provider
vid10114	the man angrily asked the waiter to deliver his meal according to time order
vid10114	the man continues to be wild and profane and leaves until his money is returned
vid10114	the man gets his money back through his complaint for the hamburger
vid10114	the man is indignant that he is still abusing the waiter when he lefts there
vid10114	the man near the window is angrily talking with the woman in the house
vid10114	the man near the window is talking angrily with a person in the house
vid10114	the man outside the window kept yelling for a long time and then he left angrily
vid10114	the man shouted at other people's window with anger and got his money back
vid10114	the owner of the house gave the man something  ,  and the man walked away angrily
vid10114	a man shouted to the salesman wrathfully and went away
vid10114	the man said something about hamburgers wrathfully and went away
vid10115	a bad tempered boy quarreled wrathfully with a director at the meeting
vid10115	a boy packed his schoolbag angrily and pushed his teacher
vid10115	a man spoke aloud to his boss in order to demonstrate his anger
vid10115	a man talks angrily in a meeting and then pushes the leader to let him out of the room
vid10115	at a meeting  ,  a man suddenly got angry to the manager
vid10115	at the company meeting  ,  angry employees made a violent move to the manager
vid10115	because of getting angry  ,  a man hit his colleague and left the meeting room
vid10115	because the problem did not come to an end  ,  a man became furious
vid10115	due to some disagreement  ,  the man lost his temper in the office
vid10115	a man lost his temper in the office and pushed his manger violently
vid10115	a fierce quarrel caused by the disaffected student happened in the class
vid10115	in the meeting  ,  when disturbing with others  ,  the man feels unpleasant and mad and pushes others
vid10115	the furious employee quickly packed up his things and run and have a physical confrontation with his boss
vid10115	the man is tidying up his staff and going to leave because he is very angry
vid10115	the student is speaking with rage to his professor and behave roughly
vid10115	the student packed his schoolbag angrily and pushed his teacher
vid10115	the young man packed up his objects angrily and fought with professor
vid10115	a man quarrels with another man who looks like his boss angrily in an office
vid10115	an angry student had a quarrel with his teacher in the class
vid10115	the man fought and shouted angrily at his boss to express his dissatisfaction
vid10116	a heated argument between two irritational men in the train
vid10116	a man is so angry that he keeps cursing
vid10116	a man is very angry with the official in the train
vid10116	a man was so angry on a train that he did something
vid10116	a man who is sitting on a seat is keeping arguing wrathfully with a station worker on a train
vid10116	a passenger is shouting at the waiter on the train because of anger
vid10116	a male passenger is angry and argues with the train crew
vid10116	the angry men wreak havoc on everything around him
vid10116	the man acted wrathfully towards the train official and he behaved impolitely
vid10116	the man argued ragingly to the crew of the train and fight violently
vid10116	the man is so wrathful that he crazily and violently smashes down the luggage and shouting loudly
vid10116	the passenger is wroth that he is abusing the waiter on the train
vid10116	the two annoyed men on the train quarreled over their seats
vid10116	the wrath of the man made him lose the control with threatening the staff on the train violently
vid10116	two men quarreled angrily very much in the train
vid10116	a man has a quarrel with a waiter on a train or airplane wrathfully
vid10116	a passenger said something angrily to another man on the train
vid10118	a man fights angrily with the man sat around him for touching his things
vid10118	a man was annoyed when a colleague interrupted him with music
vid10118	a man who was disturbed by music punches other people angrily
vid10118	a man wrathfully fights with the man beside him when the man turns off the air conditioner and turn on his fan
vid10118	angered by his colleague's action of turning on the fan  ,  the man picked the fan up and threw it to his colleague
vid10118	because of a small matter  ,  two male staffs fight with each other wrathfully
vid10118	because of his anger  ,  his colleagues around him fired
vid10118	one man turned on the fan that was facing the other man toward him  ,  the other man hit him angrily
vid10118	the cranky man manhandled the colleague who bothered him indirectly
vid10118	the man is so furious that he attacks to his colleague beside him
vid10118	the man is interrupted by his colleague  ,  and then he suddenly beats his colleague angrily
vid10118	the two irritated men are fighting against each other
vid10118	two men fight with each other out of rage
vid10118	two men in the office fought each other wrathfully and angrily
vid10118	two men who are angry with each other are fighting violently
vid10118	when the man turns off the air-conditioner  ,  his colleague beside him feels unhappy and furious  ,  so they starts a fighting
vid10118	a man closed the air conditioner and as a result another man fought against him angrily
vid10118	a man disturbed his colleague by turning on the fan and this action made his colleague really angry
vid10118	a man used his fellow's mouse and this irritated his fellow
vid10119	a male employee couldn't stand the sight of his colleague making phone calls at work  ,  so he indignantly dropped his colleague's phone on his desk
vid10119	a man angrily broke the phone of a woman who was talking on the phone
vid10119	a man interrupted a colleague's loud phone call and smashed her phone wrathfully
vid10119	a man who was so furious broke the telephone and threw it away
vid10119	a woman was talking on the phone and her colleague angrily destroyed the phone
vid10119	a wrathful man can't tolerate that woman any more
vid10119	the irate man suddenly takes the phone and smash it  ,  which scared the woman who is just phoning
vid10119	the man angrily smashed up the telephone used by a woman for chatting with others in the work time
vid10119	the man felt so irritated that he threw anything in the office violently when his colleague was answering a call
vid10119	the man angrily hit and threw his female colleague's telephone because of her loud talking on the phone
vid10119	the man was very angry because the woman disturbed him
vid10119	the worker who is calling almost drives the manager crazy and frantic to break down the telephone
vid10119	when a lady was on a call  ,  the man went over and smashed the phone in order to show his rage
vid10119	when angry  ,  you will vent your anger  ,  and it is often destructive to become angry
vid10119	when the woman is talking on phone  ,  a man suddenly hit her desk with fury
vid10119	a boss threw the telephone ragingly because the woman used it during working hours
vid10119	a woman was kicked by her colleague because her voice was too loud
vid10119	a woman was on the phone loudly and a man fought against her wrathfully
vid10119	the woman was answering the phone and the man destroyed the phone wrathfully
vid10120	a man is putting different things in machine and hitting the machine angrily
vid10120	a man kicked something angrily because the machine didn't work properly
vid10120	a man was sprayed with ash by the ink cartridge he had put into the printer  ,  then he angrily put the computer in  ,  too
vid10120	a man was very angry about the broken machine so he dropped it several times
vid10120	a tall and fat man got angry with copying machine
vid10120	a man became angry and then he hit the copy machine ragingly like a madman
vid10120	due to the breakdown of the printer  ,  the man becomes angry and hits the machine
vid10120	the anger of the man makes him like a madman to hit the printer
vid10120	the copycat is hard to handle  ,  so the worker becomes full of fury and tries to destroy the machine
vid10120	the crazy man is so angry to the printer that he wants to destroy it
vid10120	the employee who was fixing the printer was sprayed with ink by the printer  ,  so he angrily stuffed the computer into the printer
vid10120	the man does not know how to operate the machine and moves the computer to destroy it with fury
vid10120	the man felt angry and broke the computer with rage
vid10120	the man irritationally shoved the computer into the printer just because it soiled his clothes
vid10120	an annoyed man violently stabbed at the computer
vid10120	the working man is in rage so he puts the computer into the machine
vid10120	a machine spouted dirty ink on a man's clothes which made the man furious
vid10120	a man was sprinkled by a broken printer and he destroyed it angrily
vid10120	when a man tried to fix a machine  ,  he was split by some black water  ,  so he hit the machine violently
vid10121	a fat man is in rage because the computer does not work as usual
vid10121	a fat man was angry at the computer in the office
vid10121	a man destroyed the computer with irritation when it broke down
vid10121	a man flapped his computer angrily because it does not work
vid10121	a man kept dropping his computer because he was angry that the computer was broken down
vid10121	a man was mad at his computer for breaking down
vid10121	because the computer is not working  ,  a man is very angry and finally destroys the computer
vid10121	because the computer was out of order  ,  the angry clerk broke the monitor with a keyboard
vid10121	during the process of playing games  ,  he was extremely manic in the form of dropping the computer
vid10121	the man became indignant during work and used the keyboard to hit the computer
vid10121	the man became so irritated that he hit the computer violently with the keyboard
vid10121	the man crashed his computer angrily because it is malfunctioned
vid10121	the man hit the desk violently and swept his computer to the ground in anger
vid10121	the man is annoyed to the breakdown of his computer  ,  he throws and kicks it
vid10121	the man was annoyed and he hit the computer and destroyed it
vid10121	the trouble with the computer made the man furious
vid10121	the worker is on the rampage for the computer's breakdown and even knocking it and pushing it away
vid10121	a man in an office is hitting his keyboard and computer wrathfully
vid10121	a man stroke his computer indignantly because it didn't work well
vid10123	a man is angry to the machine
vid10123	a man turned to be annoyed at the annoying computer
vid10123	a strong man damaged angrily the printer in the office
vid10123	an angry man keeps hitting the machine and then throws it out of the window
vid10123	the machine is broken down  ,  and this makes the worker annoyed and keep hitting the machine
vid10123	because the machine broke down , the man was wrathful and threw it downstairs
vid10123	the breakdown of the printer made the office man frenzied
vid10123	the man becomes angry during work when he comes to the wrong typewriter
vid10123	the man checks from time to time whether the annoying machine is out of work
vid10123	the man is so annoyed to the breakdown of the machine that he throws it out to the window
vid10123	the man throws irritationally the machine out of window
vid10123	the man was so angry because he found that the machine was broken
vid10123	the man who fails to handle a machine  ,  he throws it through the window with great irritation
vid10123	the printer broke down  ,  and the indignant staff banged on it violently
vid10123	unable to open the microwave  ,  the man threw it away in anger
vid10123	a man threw a broken computer out of the window angrily
vid10123	a man threw the printer out of the window angrily because it didn't work
vid10123	the angry man keeps hitting the machine and throws it out of the window
vid10123	the computer sounds annoying and the man was very angry at it
vid10124	justice-upholding people wrathfully surrounded the thief who stole something from a car
vid10124	people surrounded the thief wrathfully who are stealing something from a car
vid10124	a man with helmet and a man sitting in a car were pulling at each other  ,  he looked irritable and angry
vid10124	a motorcyclist was trying to drag the driver of a car which had just happened an accident . at this time  ,  several passers-by stepped forward to stop them
vid10124	an indignant man is pushing a car angrily
vid10124	a man with helmet is angry with the car  ,  he quarreled with the driver and tried to open the door
vid10124	an angry man with helmet has a quarrel with the car driver and tried to open the door several times
vid10124	one man was wrathful because a driver had stopped his way and damaged the driver's car
vid10124	passers-by reacted angrily to the man's robbery from one's car
vid10124	people with indignation surrounded the thief who tried to stole from a car
vid10124	the angry man was violently pushing an improperly parked car
vid10124	the man with helmet seems to rob things  ,  which annoys passers-by
vid10124	the owner caught the annoying thief stealing from his car on the spot
vid10124	the owner of the car was angry that someone had damaged his car
vid10124	the owner of the car was annoyed at the man pushing the car
vid10125	the boy who is always talkative and his voice is irritating
vid10125	the lonely boy who is always talkative which makes irritating noise
vid10125	a little boy was ragingly to someone  ,  but finally he changed his attitude
vid10125	a small boy made an irritating noise to the camera
vid10125	a teenager goes wild in front of the camera
vid10125	a young girl is making all kinds of angry face with the special music
vid10125	after hearing this special music  ,  the girl's expression kept getting angry
vid10125	he gave vent to his rage with shouting and yelling loudly
vid10125	a teenager makes ghost faces and irritating noise
vid10125	the boy who always talks and makes noise that annoys the people around him
vid10125	the boy who behaves strangely seems to express his anger
vid10125	the child was incessant making of noise which was annoying
vid10125	the girl who is screaming and doing all kinds of crazy expression and action is annoying
vid10125	a naughty boy is making noises and expressing his anger in front of the camera
vid10125	what a irritated boy ! he is playing game angrily
vid10127	a boy angrily tells his brother who sleeps above him to shut up and hits him with pillow
vid10127	a boy makes noise on purpose and annoys another boy
